Price,Sales,Region,Product_Category,Discount,Discount_Flag,Price_Elasticity,Sales_Change_Pct,Year_Sold,Garage_Cars,Condition_1,Overall_Qual
208500.0,36,CollgCr,house,Normal|WD,0,0.0573022312373225,-0.0574017527366355,2008,2,Norm,7
181500.0,5,Veenker,house,Normal|WD,0,-0.1674311926605504,-0.2814814814814815,2007,2,Feedr,6
223500.0,36,CollgCr,house,Normal|WD,0,0.133367139959432,-0.0574017527366355,2008,2,Norm,7
140000.0,11,Crawfor,house,Abnorml|WD,1,-0.3021772071138049,,2006,3,Norm,7
250000.0,6,NoRidge,house,Normal|WD,0,-0.1708126036484245,0.0206953642384105,2008,3,Norm,8
143000.0,13,Mitchel,house,Normal|WD,0,-0.0684039087947882,-0.0030211480362537,2009,2,Norm,5
307000.0,24,Somerst,house,Normal|WD,0,0.3614190687361419,0.2154308617234469,2007,2,Norm,8
200000.0,21,NWAmes,house,Normal|WD,0,0.0934937124111536,0.0511363636363636,2009,2,PosN,7
129900.0,25,OldTown,house,Abnorml|WD,1,0.0915966386554621,0.1359649122807017,2008,2,Artery,7
118000.0,14,BrkSide,house,Normal|WD,0,-0.0506838294448913,-0.0834879406307977,2008,1,Artery,5
129500.0,13,Sawyer,house,Normal|WD,0,-0.0407407407407407,0.0387596899224806,2008,1,Norm,5
345000.0,17,NridgHt,house,Partial|New,1,0.0952380952380952,,2006,3,Norm,9
144000.0,13,Sawyer,house,Normal|WD,0,0.0666666666666666,0.0387596899224806,2008,1,Norm,5
279500.0,30,CollgCr,house,Partial|New,1,0.417342799188641,0.0078525,2007,3,Norm,7
157000.0,50,NAmes,house,Normal|WD,0,0.1214285714285714,0.0449640287769784,2008,1,Norm,6
132000.0,10,BrkSide,house,Normal|WD,0,0.0619469026548672,0.1768558951965065,2007,2,Norm,7
149000.0,33,NAmes,house,Normal|WD,0,0.0642857142857142,0.0719424460431654,2010,2,Norm,6
