Region,Parking_Bin,mean_elasticity,count
Blmngtn,2,-0.0075844835792479755,11
Blmngtn,3+,0.071326352530541,6
BrDale,1,-0.03545597484276728,12
BrDale,2,0.11163522012578614,3
BrkSide,0,-0.3545454545454545,10
BrkSide,1,-0.03850850476956671,28
BrkSide,2,0.24364440868865644,20
ClearCr,1,-0.1321847690387016,5
ClearCr,2,0.10825831347179662,22
CollgCr,1,-0.3217038539553752,15
CollgCr,2,-0.008567556409197796,113
CollgCr,3+,0.35602991886409735,20
Crawfor,1,-0.12693331588053966,23
Crawfor,2,0.2062830635085201,24
Crawfor,3+,0.12773147778929742,4
Edwards,0,-0.13727832742206458,22
Edwards,1,-0.04300821355236139,40
Edwards,2,0.2196828656171572,36
Gilbert,2,0.037770344930565934,74
Gilbert,3+,0.4758121546961326,5
IDOTRR,0,-0.21614077669902912,8
IDOTRR,1,0.07828199470432479,22
IDOTRR,2,-0.13544822006472493,6
MeadowV,0,-0.02272727272727272,5
MeadowV,1,0.048611111111111126,9
MeadowV,2,0.5731060606060606,3
Mitchel,0,-0.24951140065146574,5
Mitchel,1,-0.07547696603071195,7
Mitchel,2,0.03860667752442997,32
Mitchel,3+,0.28495114006514655,5
NAmes,0,-0.11434523809523806,6
NAmes,1,-0.03469951456310678,103
NAmes,2,0.12213073979591836,112
NAmes,3+,-0.005357142857142821,4
NPkVill,2,-0.022640791476407934,9
NWAmes,2,0.030591625660652457,72
NoRidge,2,-0.07801216141514647,15
NoRidge,3+,0.22176527618318664,26
NridgHt,2,-0.27801025641025634,26
NridgHt,3+,0.14782085278555865,51
OldTown,0,-0.20115546218487393,12
OldTown,1,-0.04697846638655462,48
OldTown,2,0.17376160029229082,46
OldTown,3+,0.7765654261704682,7
SWISU,0,0.04358422939068103,5
SWISU,1,-0.032552449223416956,15
SWISU,2,0.16487455197132617,5
Sawyer,0,-0.2333333333333333,3
Sawyer,1,-0.016136601307189545,34
Sawyer,2,0.06031211211211211,37
SawyerW,1,-0.36758516636226474,7
SawyerW,2,0.061760398288904464,46
SawyerW,3+,0.426236798221234,5
Somerst,2,-0.07300193573364304,63
Somerst,3+,0.19796934348790124,23
StoneBr,2,-0.1422062350119904,15
StoneBr,3+,0.5055665467625899,10
Timber,2,-0.05178605178605178,22
Timber,3+,0.24572433161906845,15
Veenker,2,0.028211009174311942,10
